category,inn_min_price,review_room,review_bath,review_breakfast,review_dinner,review_service,review_cleaness,rooms_total,baths_total,free_wifi,convenience_store,hand_towel,body_wash,hairdryer,onsui_toilet,dental_amenities,bar_soap,duvet,hair_brush,bath_towel,yukata,razor,shampoo,pajamas,shower_cap,conditioner,bathrobe,cotton_swab,塩化物泉,炭酸水素塩泉,含鉄泉,単純温泉,硫黄泉,硫酸塩泉,その他,弱アルカリ性低張性泉,鉱泉,放射能泉,ナトリウム塩化物泉,アルカリ単純泉,中性低張性高温泉,炭酸鉄泉,単純炭酸泉,二酸化炭素泉,マッサージ（有料）,囲碁（有料）,マージャン（有料）,貸自転車,グランド（有料）,ゴルフ（有料）,デイユース（有料）,クリーニングサービス,囲碁,将棋（有料）,ルームサービス,将棋,パターゴルフ,エステ（有料）,リフレクソロジー,マージャン,ペットOK（有料）(ケージ持込/部屋,ラウンジ持込OK),貸自転車（有料）,釣り（有料）,ダイビング（有料）,カヌー（有料）,釣り,ダイビング,カヌー,乗馬（有料）,そば打ち,ペットOK（有料）(ケージ有り/ケージ持込),ラフティング（有料）,パターゴルフ（有料）,ペットOK（有料）(ケージ持込),ペットOK（有料）,ペットOK（有料）(ケージ有り),ゴルフ,体育館（有料）,テニス（有料）,陶芸（有料）,ジム,貸しスキー（有料）,貸しボード（有料）,ペットOK（有料）(ケージ有り/ケージ持込/部屋,そば打ち（有料）,エステ,パラグライダー（有料）,ＡＴＭ,チャペル,ペットホテル,ペットOK（有料）(ケージ有り/ケージ持込/ペット用風呂有り),グランド,ペットOK,体育館,テニス,陶芸,託児所,ベビーシッター,ペットOK(ケージ持込/部屋,マッサージ,ペットOK(ケージ持込),ラウンジ持込OK/ペット用風呂有り),ペットOK(ケージ有り/ケージ持込),ペットOK（有料）(ケージ有り/ペット用風呂有り),ペットOK（有料）(ケージ持込/ペット用風呂有り),デイユース,パラグライダー,乗馬,ペットOK(ケージ有り/ケージ持込/部屋,ラフティング,ネイル,ショッピングモール,貸しスキー,貸しボード,ペットOK（有料）(部屋,ペットOK(ケージ有り),ペットOK（有料）(ケージ有り/部屋,デリカ,パティスリー,ペットOK(ケージ有り/ケージ持込/ペット用風呂有り)
0,10445.668071654372,4.242781875658589,4.29104320337197,4.1844046364594325,3.9440463645943193,4.3593256059009535,4.2876712328767175,38.30031612223393,1.9494204425711275,0.6564805057955743,0.3066385669125395,0.9947312961011591,0.9947312961011591,0.9304531085353003,0.9336143308746049,0.9989462592202318,0.5511064278187566,0.8082191780821918,0.9146469968387777,1.0,0.8408851422550052,0.9810326659641728,0.9978925184404637,0.220231822971549,0.6986301369863014,0.9315068493150684,0.07692307692307693,0.8387776606954689,0.20969441517386722,0.06006322444678609,0.07165437302423604,0.2845100105374078,0.136986301369863,0.09799789251844046,0.01053740779768177,0.023182297154899896,0.0,0.02845100105374078,0.037934668071654375,0.026343519494204427,0.001053740779768177,0.001053740779768177,0.001053740779768177,0.009483667017913594,0.7175974710221286,0.008429926238145416,0.14120126448893572,0.04847207586933614,0.011591148577449948,0.18124341412012646,0.2065331928345627,0.1148577449947313,0.018967334035827187,0.006322444678609062,0.15700737618545837,0.03371970495258166,0.003161222339304531,0.25500526870389884,0.040042149631190724,0.011591148577449948,0.0,0.02845100105374078,0.04847207586933614,0.07165437302423604,0.04214963119072708,0.03371970495258166,0.01053740779768177,0.001053740779768177,0.001053740779768177,0.0273972602739726,0.003161222339304531,0.006322444678609062,0.018967334035827187,0.018967334035827187,0.003161222339304531,0.009483667017913594,0.002107481559536354,0.0136986301369863,0.012644889357218124,0.030558482613277135,0.09272918861959958,0.002107481559536354,0.008429926238145416,0.006322444678609062,0.03161222339304531,0.03371970495258166,0.007376185458377239,0.014752370916754479,0.0,0.008429926238145416,0.004214963119072708,0.002107481559536354,0.001053740779768177,0.001053740779768177,0.001053740779768177,0.006322444678609062,0.004214963119072708,0.0,0.0,0.0,0.007376185458377239,0.002107481559536354,0.01053740779768177,0.001053740779768177,0.0,0.0,0.002107481559536354,0.0,0.0,0.005268703898840885,0.0,0.006322444678609062,0.001053740779768177,0.0,0.0,0.001053740779768177,0.001053740779768177,0.001053740779768177,0.0,0.0,0.0
1,6107.726708074534,3.790683229813666,4.0884057971014505,3.819254658385097,3.6896480331262924,4.1648033126294,3.889855072463774,23.279503105590063,1.6314699792960663,0.40993788819875776,0.22981366459627328,0.9648033126293996,0.8571428571428571,0.36438923395445133,0.41200828157349895,0.9730848861283644,0.5424430641821946,0.4886128364389234,0.15527950310559005,0.8902691511387164,0.9440993788819876,0.37888198757763975,0.8923395445134575,0.010351966873706004,0.09109730848861283,0.5755693581780539,0.004140786749482402,0.18012422360248448,0.2567287784679089,0.10351966873706005,0.045548654244306416,0.2691511387163561,0.14699792960662525,0.043478260869565216,0.002070393374741201,0.016563146997929608,0.004140786749482402,0.045548654244306416,0.031055900621118012,0.024844720496894408,0.002070393374741201,0.002070393374741201,0.0,0.006211180124223602,0.4720496894409938,0.11180124223602485,0.3188405797101449,0.051759834368530024,0.043478260869565216,0.14906832298136646,0.18219461697722567,0.045548654244306416,0.19875776397515527,0.10559006211180125,0.08902691511387163,0.20082815734989648,0.004140786749482402,0.031055900621118012,0.0,0.08488612836438923,0.0,0.006211180124223602,0.043478260869565216,0.12422360248447205,0.024844720496894408,0.043478260869565216,0.041407867494824016,0.002070393374741201,0.008281573498964804,0.016563146997929608,0.002070393374741201,0.0,0.022774327122153208,0.018633540372670808,0.008281573498964804,0.012422360248447204,0.0,0.020703933747412008,0.045548654244306416,0.055900621118012424,0.039337474120082816,0.0,0.031055900621118012,0.026915113871635612,0.004140786749482402,0.033126293995859216,0.002070393374741201,0.016563146997929608,0.0,0.0,0.0,0.0,0.002070393374741201,0.010351966873706004,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.004140786749482402,0.002070393374741201,0.002070393374741201,0.002070393374741201,0.004140786749482402,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.002070393374741201,0.0,0.0,0.0
2,9717.581132075471,0.0,0.0,0.0,0.0,0.0,0.0,14.947169811320755,1.4226415094339622,0.4528301886792453,0.17358490566037735,0.9811320754716981,0.8905660377358491,0.539622641509434,0.4981132075471698,0.9924528301886792,0.6188679245283019,0.6113207547169811,0.4528301886792453,0.9358490566037736,0.9245283018867925,0.6226415094339622,0.9320754716981132,0.07924528301886792,0.3433962264150943,0.7283018867924528,0.033962264150943396,0.4679245283018868,0.2188679245283019,0.045283018867924525,0.052830188679245285,0.29056603773584905,0.1660377358490566,0.06037735849056604,0.018867924528301886,0.026415094339622643,0.0,0.052830188679245285,0.026415094339622643,0.03018867924528302,0.0,0.0,0.0037735849056603774,0.007547169811320755,0.4867924528301887,0.13584905660377358,0.3622641509433962,0.04150943396226415,0.14339622641509434,0.27547169811320754,0.21132075471698114,0.07547169811320754,0.25660377358490566,0.12830188679245283,0.15849056603773584,0.2679245283018868,0.011320754716981131,0.1018867924528302,0.01509433962264151,0.10566037735849057,0.0,0.0,0.04150943396226415,0.20754716981132076,0.033962264150943396,0.04905660377358491,0.03018867924528302,0.0,0.0037735849056603774,0.05660377358490566,0.0,0.0,0.05660377358490566,0.07547169811320754,0.0037735849056603774,0.0,0.0,0.01509433962264151,0.13962264150943396,0.16226415094339622,0.14339622641509434,0.007547169811320755,0.09056603773584905,0.07169811320754717,0.0037735849056603774,0.12452830188679245,0.0037735849056603774,0.06037735849056604,0.0,0.0,0.0,0.0,0.0037735849056603774,0.01509433962264151,0.007547169811320755,0.0037735849056603774,0.0037735849056603774,0.0,0.0,0.0,0.007547169811320755,0.0037735849056603774,0.0037735849056603774,0.0037735849056603774,0.0,0.0,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6280.307692307692,3.1000000000000005,3.346153846153846,3.0461538461538455,3.3615384615384616,3.3923076923076922,3.1076923076923078,17.23076923076923,1.3846153846153846,0.38461538461538464,0.15384615384615385,1.0,0.7692307692307693,0.3076923076923077,0.38461538461538464,1.0,0.6923076923076923,0.5384615384615384,0.38461538461538464,1.0,1.0,0.46153846153846156,0.9230769230769231,0.0,0.23076923076923078,0.6923076923076923,0.0,0.38461538461538464,0.3076923076923077,0.0,0.0,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,0.7692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,1.0,0.0,0.3076923076923077,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7877.084474885844,4.0509132420091305,4.20753424657534,4.137214611872149,4.207305936073059,4.263470319634706,4.084474885844748,44.62557077625571,2.4817351598173514,0.593607305936073,0.3013698630136986,1.0,0.9748858447488584,0.769406392694064,0.7899543378995434,1.0,0.7031963470319634,0.8082191780821918,0.7557077625570776,0.9931506849315068,0.9657534246575342,0.8835616438356164,0.997716894977169,0.06164383561643835,0.6506849315068494,0.8698630136986302,0.0136986301369863,0.730593607305936,0.2557077625570776,0.0867579908675799,0.04794520547945205,0.2853881278538813,0.10730593607305935,0.08447488584474885,0.0136986301369863,0.04794520547945205,0.0,0.02968036529680365,0.02054794520547945,0.0136986301369863,0.0,0.00228310502283105,0.0,0.0045662100456621,0.8767123287671232,0.4634703196347032,0.6689497716894978,0.11187214611872145,0.819634703196347,0.8835616438356164,0.5205479452054794,0.1415525114155251,0.2945205479452055,0.4497716894977169,0.3378995433789954,0.3013698630136986,0.0045662100456621,0.3356164383561644,0.0365296803652968,0.04337899543378995,0.0,0.02511415525114155,0.1780821917808219,0.6301369863013698,0.15296803652968036,0.2831050228310502,0.02054794520547945,0.0,0.0,0.23972602739726026,0.0,0.0091324200913242,0.16666666666666666,0.3287671232876712,0.0091324200913242,0.00684931506849315,0.01598173515981735,0.00684931506849315,0.821917808219178,0.8767123287671232,0.4748858447488584,0.01598173515981735,0.1232876712328767,0.11187214611872145,0.0273972602739726,0.4200913242009132,0.0045662100456621,0.22602739726027396,0.00228310502283105,0.02511415525114155,0.01141552511415525,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.0045662100456621,0.0045662100456621,0.0,0.00228310502283105,0.00228310502283105,0.0,0.00228310502283105,0.00228310502283105,0.00684931506849315,0.00228310502283105,0.00228310502283105,0.0,0.0045662100456621,0.0,0.0,0.00228310502283105,0.0,0.0045662100456621,0.0,0.00228310502283105,0.0,0.0,0.0045662100456621,0.00228310502283105,0.0,0.0,0.0
5,8847.590163934427,4.098907103825137,4.223132969034612,4.175956284153006,4.247905282331512,4.273770491803275,4.13770491803279,39.22040072859745,2.446265938069217,0.5300546448087432,0.22404371584699453,1.0,0.9872495446265938,0.8123861566484517,0.8870673952641166,1.0,0.6320582877959927,0.8032786885245902,0.8888888888888888,0.9963570127504554,0.970856102003643,0.9581056466302368,0.9981785063752276,0.07650273224043716,0.8032786885245902,0.9016393442622951,0.012750455373406194,0.8214936247723132,0.20218579234972678,0.0692167577413479,0.058287795992714025,0.2495446265938069,0.16393442622950818,0.0947176684881603,0.012750455373406194,0.012750455373406194,0.0018214936247723133,0.04735883424408015,0.023679417122040074,0.04007285974499089,0.0,0.0,0.0,0.023679417122040074,0.8051001821493625,0.0018214936247723133,0.4918032786885246,0.08014571948998178,0.052823315118397086,0.30965391621129323,0.3551912568306011,0.0965391621129326,0.9672131147540983,0.0036429872495446266,0.22768670309653916,0.9635701275045537,0.014571948998178506,0.27140255009107467,0.03278688524590164,0.18579234972677597,0.0,0.007285974499089253,0.08378870673952642,0.17304189435336975,0.03642987249544627,0.051001821493624776,0.04735883424408015,0.0,0.0018214936247723133,0.03460837887067395,0.007285974499089253,0.0036429872495446266,0.023679417122040074,0.03825136612021858,0.009107468123861567,0.01639344262295082,0.0018214936247723133,0.04189435336976321,0.056466302367941715,0.11839708561020036,0.14207650273224043,0.0018214936247723133,0.025500910746812388,0.029143897996357013,0.007285974499089253,0.08014571948998178,0.0018214936247723133,0.012750455373406194,0.0,0.007285974499089253,0.0036429872495446266,0.0018214936247723133,0.00546448087431694,0.0018214936247723133,0.01092896174863388,0.014571948998178506,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0018214936247723133,0.0018214936247723133,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0
6,7433.833333333333,4.533333333333333,4.2,4.383333333333334,3.6999999999999997,4.3,4.45,314.0,3.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0
7,6804.894736842105,3.444736842105263,3.607894736842104,3.5789473684210535,3.5184210526315787,3.668421052631579,3.4710526315789476,33.421052631578945,1.763157894736842,0.7105263157894737,0.2631578947368421,1.0,1.0,0.5526315789473685,0.6578947368421053,1.0,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.9473684210526315,0.9736842105263158,0.8421052631578947,1.0,0.05263157894736842,0.5526315789473685,0.868421052631579,0.02631578947368421,0.6842105263157895,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.13157894736842105,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.7631578947368421,0.3157894736842105,0.6578947368421053,0.05263157894736842,0.0,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.47368421052631576,0.3157894736842105,0.34210526315789475,0.47368421052631576,0.07894736842105263,0.13157894736842105,0.0,0.10526315789473684,0.0,0.0,0.07894736842105263,0.3157894736842105,0.05263157894736842,0.02631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.07894736842105263,0.02631578947368421,0.0,0.0,0.2894736842105263,0.05263157894736842,0.05263157894736842,0.07894736842105263,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.9736842105263158,0.02631578947368421,0.9210526315789473,0.8157894736842105,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
8,8892.574906367041,4.104307116104866,4.241385767790261,4.1365168539325845,4.246629213483149,4.227715355805241,4.070786516853939,61.833333333333336,3.204119850187266,0.5749063670411985,0.32771535580524347,0.99812734082397,0.9719101123595506,0.8370786516853933,0.9101123595505618,1.0,0.7097378277153558,0.7921348314606742,0.8745318352059925,1.0,0.9812734082397003,0.9250936329588015,0.9925093632958801,0.0299625468164794,0.7659176029962547,0.897003745318352,0.00749063670411985,0.7340823970037453,0.23595505617977527,0.07116104868913857,0.03932584269662921,0.27340823970037453,0.17790262172284643,0.0599250936329588,0.0018726591760299626,0.0149812734082397,0.0,0.06554307116104868,0.016853932584269662,0.020599250936329586,0.0,0.0,0.0,0.02247191011235955,0.8764044943820225,0.9681647940074907,0.900749063670412,0.035580524344569285,0.026217228464419477,0.49250936329588013,0.36704119850187267,0.09176029962546817,0.0,0.947565543071161,0.32771535580524347,0.00749063670411985,0.0056179775280898875,0.3913857677902622,0.056179775280898875,0.0,0.0,0.00749063670411985,0.12921348314606743,0.2209737827715356,0.026217228464419477,0.04119850187265917,0.00749063670411985,0.0,0.0,0.0449438202247191,0.0,0.020599250936329586,0.026217228464419477,0.06741573033707865,0.00749063670411985,0.013108614232209739,0.013108614232209739,0.028089887640449437,0.03932584269662921,0.08614232209737828,0.1348314606741573,0.0018726591760299626,0.024344569288389514,0.016853932584269662,0.0056179775280898875,0.08426966292134831,0.003745318352059925,0.0149812734082397,0.0,0.013108614232209739,0.0056179775280898875,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018726591760299626,0.0018726591760299626,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0
9,10356.0,4.1875,4.325,4.4750000000000005,4.5375000000000005,4.4125000000000005,4.375,38.625,3.0,0.875,0.375,1.0,1.0,0.875,0.875,1.0,0.75,0.625,0.75,1.0,1.0,0.75,1.0,0.0,0.625,1.0,0.0,0.75,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.75,0.125,0.25,0.125,0.125,0.0,0.25,0.375,0.25,0.125,0.375,0.25,0.75,0.375,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.75,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.5,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.875,0.75,0.0,0.625,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0
10,7493.558823529412,3.26764705882353,3.3147058823529423,3.2088235294117657,3.2882352941176465,3.494117647058823,3.258823529411765,40.911764705882355,1.5294117647058822,0.47058823529411764,0.35294117647058826,1.0,0.9117647058823529,0.6176470588235294,0.6176470588235294,1.0,0.6176470588235294,0.6176470588235294,0.5294117647058824,1.0,0.9117647058823529,0.7058823529411765,0.9117647058823529,0.08823529411764706,0.5882352941176471,0.7058823529411765,0.0,0.5,0.20588235294117646,0.058823529411764705,0.029411764705882353,0.3235294117647059,0.11764705882352941,0.08823529411764706,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.23529411764705882,0.38235294117647056,0.029411764705882353,0.08823529411764706,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.3235294117647059,0.20588235294117646,0.20588235294117646,0.3235294117647059,0.0,0.14705882352941177,0.058823529411764705,0.08823529411764706,1.0,0.8529411764705882,0.0,0.17647058823529413,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.08823529411764706,0.14705882352941177,0.11764705882352941,0.0,0.08823529411764706,0.08823529411764706,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
